"Step","s3 - mean evaluate return","s3 - mean evaluate return__MIN","s3 - mean evaluate return__MAX","s2 - mean evaluate return","s2 - mean evaluate return__MIN","s2 - mean evaluate return__MAX","s1 - mean evaluate return","s1 - mean evaluate return__MIN","s1 - mean evaluate return__MAX","s0 - mean evaluate return","s0 - mean evaluate return__MIN","s0 - mean evaluate return__MAX"
"500","0","0","0","0","0","0","0.09","0.09","0.09","0","0","0"
"1000","0.42","0.42","0.42","0.63","0.63","0.63","0.74","0.74","0.74","0.66","0.66","0.66"
"1500","0.5","0.5","0.5","0.65","0.65","0.65","0.57","0.57","0.57","0.48","0.48","0.48"
"2000","0.56","0.56","0.56","0.61","0.61","0.61","0.64","0.64","0.64","0.6","0.6","0.6"
"2500","0.65","0.65","0.65","0.55","0.55","0.55","0.16","0.16","0.16","0.47","0.47","0.47"
"3000","0.44","0.44","0.44","0.5","0.5","0.5","0.7","0.7","0.7","0.69","0.69","0.69"
"3500","0.19","0.19","0.19","0.61","0.61","0.61","0.76","0.76","0.76","0.36","0.36","0.36"
"4000","0.54","0.54","0.54","0.49","0.49","0.49","0.83","0.83","0.83","0.79","0.79","0.79"
"4500","0.34","0.34","0.34","0.72","0.72","0.72","0.76","0.76","0.76","0.69","0.69","0.69"
"5000","0.59","0.59","0.59","0.39","0.39","0.39","0.71","0.71","0.71","0.84","0.84","0.84"
"5500","0.46","0.46","0.46","0.82","0.82","0.82","0.53","0.53","0.53","0.5","0.5","0.5"
"6000","0.57","0.57","0.57","0.75","0.75","0.75","0.75","0.75","0.75","0.53","0.53","0.53"
"6500","0.55","0.55","0.55","0.46","0.46","0.46","0.83","0.83","0.83","0.54","0.54","0.54"
"7000","0.77","0.77","0.77","0.44","0.44","0.44","0.57","0.57","0.57","0.68","0.68","0.68"
"7500","0.62","0.62","0.62","0.51","0.51","0.51","0.46","0.46","0.46","0.45","0.45","0.45"
"8000","0.67","0.67","0.67","0.46","0.46","0.46","0.37","0.37","0.37","0.62","0.62","0.62"
"8500","0.46","0.46","0.46","0.61","0.61","0.61","0.75","0.75","0.75","0.6","0.6","0.6"
"9000","0.58","0.58","0.58","0.58","0.58","0.58","0.69","0.69","0.69","0.27","0.27","0.27"
"9500","0.75","0.75","0.75","0.53","0.53","0.53","0.74","0.74","0.74","0.71","0.71","0.71"
"10000","0.65","0.65","0.65","0.47","0.47","0.47","0.03","0.03","0.03","0.82","0.82","0.82"
"10500","0.45","0.45","0.45","0.48","0.48","0.48","0.67","0.67","0.67","0.84","0.84","0.84"
"11000","0.27","0.27","0.27","0.3","0.3","0.3","0.71","0.71","0.71","0.6","0.6","0.6"
"11500","0.53","0.53","0.53","0.34","0.34","0.34","0.8","0.8","0.8","0.79","0.79","0.79"
"12000","0.56","0.56","0.56","0.35","0.35","0.35","0.75","0.75","0.75","0.82","0.82","0.82"
"12500","0.25","0.25","0.25","0.43","0.43","0.43","0.64","0.64","0.64","0.38","0.38","0.38"
"13000","0.75","0.75","0.75","0.4","0.4","0.4","0.76","0.76","0.76","0.71","0.71","0.71"
"13500","0.67","0.67","0.67","0.74","0.74","0.74","0.73","0.73","0.73","0.72","0.72","0.72"
"14000","0.8","0.8","0.8","0.56","0.56","0.56","0.71","0.71","0.71","0.67","0.67","0.67"
"14500","0.72","0.72","0.72","0.63","0.63","0.63","0.48","0.48","0.48","0.55","0.55","0.55"
"15000","0.36","0.36","0.36","0.41","0.41","0.41","0.74","0.74","0.74","0.79","0.79","0.79"
"15500","0.6","0.6","0.6","0.15","0.15","0.15","0.51","0.51","0.51","0.7","0.7","0.7"
"16000","0.31","0.31","0.31","0.43","0.43","0.43","0.52","0.52","0.52","0.73","0.73","0.73"
"16500","0.14","0.14","0.14","0.64","0.64","0.64","0.59","0.59","0.59","0.65","0.65","0.65"
"17000","0.68","0.68","0.68","0.35","0.35","0.35","0.68","0.68","0.68","0.52","0.52","0.52"
"17500","0.45","0.45","0.45","0.45","0.45","0.45","0.58","0.58","0.58","0.81","0.81","0.81"
"18000","0.79","0.79","0.79","0.39","0.39","0.39","0.61","0.61","0.61","0.57","0.57","0.57"
"18500","0.8","0.8","0.8","0.68","0.68","0.68","0.24","0.24","0.24","0.71","0.71","0.71"
"19000","0.48","0.48","0.48","0.48","0.48","0.48","0.64","0.64","0.64","0.84","0.84","0.84"
"19500","0.75","0.75","0.75","0.51","0.51","0.51","0.65","0.65","0.65","0.68","0.68","0.68"
"20000","0.69","0.69","0.69","0.3","0.3","0.3","0.65","0.65","0.65","0.73","0.73","0.73"
"20500","0.8","0.8","0.8","0.67","0.67","0.67","0.75","0.75","0.75","0.84","0.84","0.84"
"21000","0.82","0.82","0.82","0.86","0.86","0.86","0.49","0.49","0.49","0.05","0.05","0.05"
"21500","0.42","0.42","0.42","0.63","0.63","0.63","0.41","0.41","0.41","0.67","0.67","0.67"
"22000","0.46","0.46","0.46","0.43","0.43","0.43","0.42","0.42","0.42","0.84","0.84","0.84"
"22500","0.1","0.1","0.1","0.42","0.42","0.42","0.24","0.24","0.24","0.69","0.69","0.69"
"23000","0.22","0.22","0.22","0.65","0.65","0.65","0.75","0.75","0.75","0.78","0.78","0.78"
"23500","0.28","0.28","0.28","0.55","0.55","0.55","0.64","0.64","0.64","0.93","0.93","0.93"
"24000","0.54","0.54","0.54","0.7","0.7","0.7","0.71","0.71","0.71","0.39","0.39","0.39"
"24500","0.53","0.53","0.53","0.7","0.7","0.7","0.72","0.72","0.72","0.65","0.65","0.65"
"25000","0.06","0.06","0.06","0.71","0.71","0.71","0.64","0.64","0.64","0.77","0.77","0.77"
