"Step","s3 - mean evaluate return","s3 - mean evaluate return__MIN","s3 - mean evaluate return__MAX","s2 - mean evaluate return","s2 - mean evaluate return__MIN","s2 - mean evaluate return__MAX","s1 - mean evaluate return","s1 - mean evaluate return__MIN","s1 - mean evaluate return__MAX","s0 - mean evaluate return","s0 - mean evaluate return__MIN","s0 - mean evaluate return__MAX"
"500","0.99","0.99","0.99","0.86","0.86","0.86","0.75","0.75","0.75","0.38","0.38","0.38"
"1000","0.99","0.99","0.99","0.98","0.98","0.98","0.27","0.27","0.27","0.94","0.94","0.94"
"1500","0.92","0.92","0.92","0.98","0.98","0.98","0.91","0.91","0.91","0.95","0.95","0.95"
"2000","0.96","0.96","0.96","0.96","0.96","0.96","0.96","0.96","0.96","0.82","0.82","0.82"
"2500","0.98","0.98","0.98","0.89","0.89","0.89","0.74","0.74","0.74","0.97","0.97","0.97"
"3000","0.99","0.99","0.99","0.93","0.93","0.93","0.87","0.87","0.87","0.96","0.96","0.96"
"3500","0.9","0.9","0.9","0.95","0.95","0.95","0.76","0.76","0.76","0.97","0.97","0.97"
"4000","1","1","1","0.92","0.92","0.92","0.92","0.92","0.92","0.98","0.98","0.98"
"4500","0.88","0.88","0.88","0.98","0.98","0.98","0.43","0.43","0.43","0.82","0.82","0.82"
"5000","0.94","0.94","0.94","0.97","0.97","0.97","0.96","0.96","0.96","0.92","0.92","0.92"
"5500","0.97","0.97","0.97","0.96","0.96","0.96","0.34","0.34","0.34","1","1","1"
"6000","0.97","0.97","0.97","0.95","0.95","0.95","0.47","0.47","0.47","1","1","1"
"6500","0.93","0.93","0.93","0.9","0.9","0.9","0.29","0.29","0.29","0.96","0.96","0.96"
"7000","0.99","0.99","0.99","1","1","1","0.66","0.66","0.66","0.98","0.98","0.98"
"7500","0.95","0.95","0.95","0.96","0.96","0.96","0.52","0.52","0.52","0.97","0.97","0.97"
"8000","0.91","0.91","0.91","0.93","0.93","0.93","0.69","0.69","0.69","0.99","0.99","0.99"
"8500","0.97","0.97","0.97","0.99","0.99","0.99","0.74","0.74","0.74","0.97","0.97","0.97"
"9000","0.95","0.95","0.95","0.99","0.99","0.99","0.37","0.37","0.37","0.94","0.94","0.94"
"9500","0.9","0.9","0.9","0.94","0.94","0.94","0.71","0.71","0.71","0.96","0.96","0.96"
"10000","0.96","0.96","0.96","0.96","0.96","0.96","0.65","0.65","0.65","0.98","0.98","0.98"
