"Step","s3 - mean evaluate return","s3 - mean evaluate return__MIN","s3 - mean evaluate return__MAX","s2 - mean evaluate return","s2 - mean evaluate return__MIN","s2 - mean evaluate return__MAX","s1 - mean evaluate return","s1 - mean evaluate return__MIN","s1 - mean evaluate return__MAX","s0 - mean evaluate return","s0 - mean evaluate return__MIN","s0 - mean evaluate return__MAX"
"500","0.91","0.91","0.91","0.33","0.33","0.33","0.98","0.98","0.98","0.98","0.98","0.98"
"1000","0.98","0.98","0.98","0.88","0.88","0.88","0.95","0.95","0.95","0.97","0.97","0.97"
"1500","0.91","0.91","0.91","0.72","0.72","0.72","0.84","0.84","0.84","0.97","0.97","0.97"
"2000","0.97","0.97","0.97","0.84","0.84","0.84","0.98","0.98","0.98","0.97","0.97","0.97"
"2500","0.95","0.95","0.95","0.91","0.91","0.91","0.9","0.9","0.9","0.88","0.88","0.88"
"3000","0.96","0.96","0.96","0.91","0.91","0.91","1","1","1","0.96","0.96","0.96"
"3500","0.97","0.97","0.97","0.94","0.94","0.94","0.97","0.97","0.97","0.99","0.99","0.99"
"4000","0.98","0.98","0.98","0.97","0.97","0.97","0.97","0.97","0.97","0.96","0.96","0.96"
"4500","0.97","0.97","0.97","0.97","0.97","0.97","0.98","0.98","0.98","0.97","0.97","0.97"
"5000","0.96","0.96","0.96","0.97","0.97","0.97","1","1","1","0.96","0.96","0.96"
"5500","0.97","0.97","0.97","0.96","0.96","0.96","0.98","0.98","0.98","1","1","1"
"6000","1","1","1","0.99","0.99","0.99","0.99","0.99","0.99","0.59","0.59","0.59"
"6500","0.95","0.95","0.95","0.97","0.97","0.97","0.94","0.94","0.94","0.98","0.98","0.98"
"7000","0.99","0.99","0.99","0.97","0.97","0.97","0.98","0.98","0.98","0.98","0.98","0.98"
"7500","1","1","1","0.92","0.92","0.92","0.99","0.99","0.99","0.99","0.99","0.99"
"8000","1","1","1","0.97","0.97","0.97","1.01","1.01","1.01","0.86","0.86","0.86"
"8500","1","1","1","0.97","0.97","0.97","1","1","1","0.89","0.89","0.89"
"9000","0.96","0.96","0.96","0.99","0.99","0.99","0.97","0.97","0.97","0.88","0.88","0.88"
"9500","1","1","1","0.95","0.95","0.95","0.94","0.94","0.94","0.94","0.94","0.94"
"10000","0.98","0.98","0.98","0.88","0.88","0.88","0.97","0.97","0.97","0.99","0.99","0.99"
